종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"079190","케스피온","KOSDAQ","벤처기업부","490","6","1.24","484","508","478","0.0","108825302","18794201860","38.0"
"263700","케어랩스","KOSDAQ","중견기업부","2940","35","1.20","2905","2970","2855","0.0","179739765","57077748000","19.0"
"214370","케어젠","KOSDAQ","벤처기업부","70700","-3100","-4.20","72300","73400","67200","0.0","15163742800","3797650500000","54.0"
"221980","케이디켐","KOSDAQ","우량기업부","10530","-100","-0.94","10630","10630","10350","0.0","40040670","42486444000","4.0"
"038530","케이바이오","KOSDAQ","중견기업부","241","-1","-0.41","242","244","240","0.0","118704158","27887157627","116.0"
"001620","케이비아이동국실업","KOSPI",,"487","1","0.21","490","492","479","0.0","157734894","54199706097","111.0"
"192250","케이사인","KOSDAQ","벤처기업부","10040","-90","-0.89","10140","10170","10000","0.0","235661275","70953935000","7.0"
"431190","케이쓰리아이","KOSDAQ","기술성장기업부","5480","260","4.98","5300","5820","5190","2.0","9109569950","41025702160","7.0"
"029460","케이씨","KOSPI",,"27450","900","3.39","26700","27500","26350","0.0","2589174300","363198169350","13.0"
"115500","케이씨에스","KOSDAQ","중견기업부","10100","60","0.60","10050","10270","9980","0.0","921777335","121200000000","12.0"
"281820","케이씨텍","KOSPI",,"42600","650","1.55","43000","43150","41050","0.0","10187758000","881407759800","21.0"
"089150","케이씨티","KOSDAQ","중견기업부","2900","75","2.65","2825","2905","2825","0.0","197683170","49735000000","17.0"
"025880","케이씨피드","KOSDAQ","우량기업부","2665","-15","-0.56","2690","2695","2620","0.0","249015736","44547761570","17.0"
"093320","케이아이엔엑스","KOSDAQ","우량기업부","117100","-7500","-6.02","124600","124900","116100","0.0","2404498550","571448000000","5.0"
"093640","케이알엠","KOSDAQ","투자주의환기종목(소속부없음)","3800","-80","-2.06","3950","3950","3770","0.0","165528148","123970633800","33.0"
"073010","케이에스피","KOSDAQ","우량기업부","4280","75","1.78","4190","4305","4185","0.0","662893205","172018550000","40.0"
"105330","케이엔더블유","KOSDAQ","중견기업부","5550","-50","-0.89","5620","5750","5540","0.0","107209140","89133155400","16.0"
"053080","케이엔솔","KOSDAQ","우량기업부","12700","330","2.67","12550","12880","12450","0.0","4806621675","165097548900","13.0"
"199430","케이엔알시스템","KOSDAQ","기술성장기업부","24750","-1350","-5.17","25900","25950","24400","0.0","6577766750","269706021750","11.0"
"432470","케이엔에스","KOSDAQ","벤처기업부","9650","280","2.99","9410","9710","9370","0.0","146187660","84645515400","9.0"
"272110","케이엔제이","KOSDAQ","우량기업부","23500","350","1.51","24600","24950","23100","0.0","7050655625","188596782500","8.0"
"039420","케이엘넷","KOSDAQ","중견기업부","2860","-15","-0.52","2915","2915","2830","0.0","108269115","69082527800","24.0"
"083550","케이엠","KOSDAQ","중견기업부","3445","15","0.44","3430","3460","3375","0.0","157773880","44615805715","13.0"
"032500","케이엠더블유","KOSDAQ","중견기업부","15930","120","0.76","15700","16400","15510","0.0","4388003165","652016636370","41.0"
"225430","케이엠제약","KOSDAQ","벤처기업부","533","1","0.19","532","545","532","0.0","44054677","14863797650","28.0"
"102370","케이옥션","KOSDAQ","기술성장기업부","3695","85","2.35","3600","3695","3570","0.0","123526347","100611930950","27.0"
"068100","케이웨더","KOSDAQ","기술성장기업부","3070","-70","-2.23","3135","3135","3055","0.0","33498627","30514614980","10.0"
"106080","케이이엠텍","KOSDAQ","중견기업부","943","18","1.95","926","975","926","1.0","498323326","27166969984","29.0"
"455180","케이지에이","KOSDAQ","벤처기업부","3330","125","3.90","3400","3465","3205","0.0","335439230","46481192280","14.0"
"381970","케이카","KOSPI",,"15520","-30","-0.19","15500","15770","15340","0.0","773806160","757699560960","49.0"
"145270","케이탑리츠","KOSPI",,"930","5","0.54","936","936","923","0.0","45479222","44696519820","48.0"
"036030","케이티알파","KOSDAQ","우량기업부","5350","-60","-1.11","5550","5550","5270","0.0","367924765","262253164050","49.0"
"064820","케이프","KOSDAQ","우량기업부","9780","60","0.62","9700","9810","9590","0.0","958797635","302218899840","31.0"
"024880","케이피에프","KOSDAQ","우량기업부","5080","-20","-0.39","5090","5150","5050","0.0","832626810","101684287360","20.0"
"042040","케이피엠테크","KOSDAQ","중견기업부","218","0","0.00","218","224","218","0.0","92016824","42541735132","195.0"
"054410","케이피티유","KOSDAQ","중견기업부","3720","5","0.13","3715","3785","3695","0.0","25694680","21302371680","6.0"
"258610","케일럼","KOSDAQ","중견기업부","1341","-13","-0.96","1354","1379","1322","0.0","60335362","48926469483","36.0"
"274090","켄코아에어로스페이스","KOSDAQ","기술성장기업부","20450","1740","9.30","18710","22900","18130","10.0","205076573065","267992137500","13.0"
"402420","켈스","KONEX","일반기업부","2300","90","4.07","2100","2300","2100","0.0","45300","5402154900","2.0"
"089010","켐트로닉스","KOSDAQ","우량기업부","32150","700","2.23","32500","32550","31300","0.0","10777257425","525309234450","16.0"
"220260","켐트로스","KOSDAQ","우량기업부","8480","530","6.67","8130","9570","8030","7.0","62553763825","225214443360","27.0"
"176590","코나솔","KONEX","일반기업부","4095","0","0.00","4100","4100","3800","0.0","2565785","23899988385","6.0"
"052400","코나아이","KOSDAQ","우량기업부","47350","350","0.74","47200","47850","46850","0.0","2217361875","689571828850","15.0"
"402030","코난테크놀로지","KOSDAQ","기술성장기업부","21300","-450","-2.07","21400","21600","21000","0.0","1083502750","266622494400","13.0"
"391710","코닉오토메이션","KOSDAQ","벤처기업부","2355","-100","-4.07","2450","2450","2350","0.0","837884316","100371206850","43.0"
"046070","코다코","KOSDAQ","관리종목(소속부없음)","10280","0","0.00","0","0","0","0.0","0","159196994920","15.0"
